indikator_id;kode;nama_indikator;dokumen_nama;pertanyaan_nama;dokumen_tipe;keterangan
361;1;"Sistem Penjaminan Mutu Internal (SPMI) yang dikembangkan oleh Perguruan Tinggi/UPPS dengan menerapka";"Kebijakan SPMI";"Apakah terdapat kebijakan SPMI yang disahkan Rektor/Direktur?";Kebijakan;"SK Rektor tentang SPMI; wajib mencakup komitmen pimpinan"
361;1;"Sistem Penjaminan Mutu Internal (SPMI) yang dikembangkan oleh Perguruan Tinggi/UPPS dengan menerapka";"Manual SPMI";"Apakah tersedia Manual SPMI yang mencakup siklus PPEPP?";Manual;"Mencakup penetapan, pelaksanaan, evaluasi, pengendalian, peningkatan"
361;1;"Sistem Penjaminan Mutu Internal (SPMI) yang dikembangkan oleh Perguruan Tinggi/UPPS dengan menerapka";"Standar Mutu UPPS/Prodi";"Apakah tersedia dokumen standar mutu minimal 8 standar Dikti?";Standar;"Minimal: pendidikan, penelitian, PkM, pembiayaan, sarpras, dosen, tendik, pengelolaan"
361;1;"Sistem Penjaminan Mutu Internal (SPMI) yang dikembangkan oleh Perguruan Tinggi/UPPS dengan menerapka";"Formulir SPMI";"Apakah tersedia formulir/template SPMI untuk setiap siklus PPEPP?";Formulir;"Template monitoring, evaluasi, dan pelaporan SPMI"
362;2;"PT/UPPS melaksanakan SPMI melalui siklus PPEPP sebagai mekanisme untuk menjamin terpenuhinya standar";"Laporan Siklus PPEPP Prodi";"Apakah terdapat laporan pelaksanaan PPEPP tahunan?";Laporan;
362;2;"PT/UPPS melaksanakan SPMI melalui siklus PPEPP sebagai mekanisme untuk menjamin terpenuhinya standar";"Laporan Audit Mutu Internal (AMI)";"Apakah AMI dilaksanakan secara periodik pada kurikulum dan pembelajaran?";Laporan;"Mencakup jadwal, instrumen, dan hasil AMI"
362;2;"PT/UPPS melaksanakan SPMI melalui siklus PPEPP sebagai mekanisme untuk menjamin terpenuhinya standar";"Notulen Rapat Tinjauan Manajemen SPMI";"Apakah dilaksanakan rapat tinjauan manajemen SPMI secara berkala?";Notulen;
363;3;"Perguruan Tinggi/UPPS/Program Studi memiliki sistem pelaporan implementasi dan luaran SPMI program s";"Laporan Implementasi SPMI Prodi";"Apakah tersedia laporan SPMI prodi secara berkala dengan data ketercapaian standar?";Laporan;
363;3;"Perguruan Tinggi/UPPS/Program Studi memiliki sistem pelaporan implementasi dan luaran SPMI program s";"Laporan Evaluasi Diri (LED) Prodi";"Apakah tersedia LED yang memuat analisis ketercapaian standar mutu?";LED;"Dokumen LED mencakup analisis kondisi internal dan eksternal prodi"
363;3;"Perguruan Tinggi/UPPS/Program Studi memiliki sistem pelaporan implementasi dan luaran SPMI program s";"Sistem/Basis Data Pangkalan Data Prodi";"Apakah data akademik dan mutu dikelola berbasis TIK/sistem informasi?";Dokumen;
